Company,Company Name,ROCE,ROE,Market Cap,Stock P/E,Dividend Yield,EPS
20MICRONS,20 Microns Limited,19.5,16.3,617,10.6,0.71,3.9
21STCENMGM,21st Century Management Services Limited,6.98,-0.22,43.4,,0,-7.46
360ONE,360 ONE WAM LIMITED,11.2,10,"46,201",213,1.06,0.01
3IINFOLTD,3i Infotech Limited,30.3,54.9,313,4.97,0,0.17
3MINDIA,3M India Limited,38.2,23.8,"39,128",70.6,0.46,169.85
3PLAND,3P Land Holdings Limited,2.28,1.72,65.2,30.9,0,0.55
5PAISA,5Paisa Capital Limited,13.6,11.9,"1,088",25.1,0,3.94
63MOONS,63 moons technologies limited,0.66,0.58,"3,032",79.4,0.2,0.5
A2ZINFRA,A2Z Infra Engineering Limited,1.05,-53.6,249,211,0,0.02
AADHARHFC,Aadhar Housing Finance Limited,11.4,16.9,"21,069",21.3,0,6.15
AAKASH,Aakash Exploration Services Limited,4.6,2.29,77.4,50.5,0,0.03
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,6.38,2.96,193,53.9,0,0.36
AARON,Aaron Industries Limited,18.6,21,322,46,0.39,0.66
AARTECH,Aartech Solonics Limited,4.57,5.6,146,100,0.27,0.45
AARTIDRUGS,Aarti Drugs Limited,13.5,13,"3,475",18.2,0.27,4.58
AARTIIND,Aarti Industries Limited,6.43,6.22,"13,423",49.9,0.28,2.79
AARTIPHARM,Aarti Pharmalabs Limited,17.4,14.8,"6,853",28,0.67,3.41
AARTISURF,Aarti Surfactants Limited,8.59,5.3,350,19.2,0.25,4.41
AARVI,Aarvi Encon Limited,10.2,7.37,189,18.9,1.56,2.11
AAVAS,Aavas Financiers Limited,10.1,14.1,"11,647",19.3,0,20.71
ABB,ABB India Limited,38.6,28.8,"1,17,398",66.4,0.81,19.3
ABBOTINDIA,Abbott India Limited,46.2,35.7,"57,694",38.3,1.77,195.43
ABCAPITAL,Aditya Birla Capital Limited,9.48,12.5,"88,641",30.9,0,3.51
ABCOTS,A B Cotspin India Limited,10.2,11.2,920,66.4,0,1.68
ABDL,Allied Blenders and Distillers Limited,21.2,20,"13,314",45.2,0.77,2.79
ABFRL,Aditya Birla Fashion and Retail Limited,-0.17,-3.01,"8,122",,0,-0.74
ABINFRA,A B Infrabuild Limited,18.4,17.3,"1,241",63.3,0.03,0.03
ABLBL,Aditya Birla Lifestyle Brands Limited,,10.7,"12,864",108,0,0.19
ABMINTLLTD,ABM International Limited,-7.32,-13.2,33.6,,0,-0.44
ABREL,Aditya Birla Real Estate Limited,4.25,3.84,"13,966",93.8,0.16,3.94
ABSLAMC,Aditya Birla Sun Life AMC Limited,35.5,27,"22,031",21.6,3.16,9.43
ACC,ACC Limited,17.6,13.4,"31,488",12.4,0.45,28.83
ACCELYA,Accelya Solutions India Limited,57.3,49.9,"1,926",16.8,6.99,8.85
ACCURACY,Accuracy Shipping Limited,8.16,3.87,75.3,27.4,0,0.05
ACE,Action Construction Equipment Limited,40.1,28.5,"10,145",23.7,0.24,8.72
ACEINTEG,Ace Integrated Solutions Limited,-10.3,-7.55,19.8,,0,-0.04
